iteration,susceptible,exposed,infected,recovered
290,19933,0,0,67
291,19934,0,0,66
292,19934,0,0,66
293,19934,0,0,66
294,19935,0,0,65
295,19935,0,0,65
296,19936,0,0,64
297,19938,0,0,62
298,19939,0,0,61
299,19940,0,0,60
300,19940,0,0,60
301,19940,0,0,60
302,19941,0,0,59
303,19943,0,0,57
304,19943,0,0,57
305,19946,0,0,54
306,19947,0,0,53
307,19948,0,0,52
308,19949,0,0,51
309,19949,0,0,51
310,19952,0,0,48
311,19953,0,0,47
312,19953,0,0,47
313,19956,0,0,44
314,19957,0,0,43
315,19957,0,0,43
316,19957,0,0,43
317,19958,0,0,42
318,19959,0,0,41
319,19959,0,0,41
320,19961,0,0,39
321,19962,0,0,38
322,19962,0,0,38
323,19963,0,0,37
324,19963,0,0,37
325,19964,0,0,36
326,19964,0,0,36
327,19965,0,0,35
328,19966,0,0,34
329,19968,0,0,32
330,19970,0,0,30
331,19970,0,0,30
332,19971,0,0,29
333,19972,0,0,28
334,19973,0,0,27
335,19973,0,0,27
336,19975,0,0,25
337,19978,0,0,22
338,19978,0,0,22
339,19978,0,0,22
340,19978,0,0,22
341,19978,0,0,22
342,19979,0,0,21
343,19979,0,0,21
344,19981,0,0,19
345,19981,0,0,19
346,19982,0,0,18
347,19982,0,0,18
348,19982,0,0,18
349,19983,0,0,17
350,19983,0,0,17
351,19984,0,0,16
352,19984,0,0,16
353,19984,0,0,16
354,19985,0,0,15
355,19985,0,0,15
356,19986,0,0,14
357,19987,0,0,13
358,19988,0,0,12
359,19989,0,0,11
360,19990,0,0,10
361,19992,0,0,8
362,19993,0,0,7
363,19993,0,0,7
364,19993,0,0,7
365,19994,0,0,6
366,19994,0,0,6
367,19994,0,0,6
368,19996,0,0,4
369,19997,0,0,3
370,19997,0,0,3
371,19997,0,0,3
372,19997,0,0,3
373,19997,0,0,3
374,19998,0,0,2
375,19998,0,0,2
376,19999,0,0,1
377,19999,0,0,1
378,20000,0,0,0
379,20000,0,0,0
380,20000,0,0,0
381,20000,0,0,0
382,20000,0,0,0
383,20000,0,0,0
384,20000,0,0,0
385,20000,0,0,0
386,20000,0,0,0
387,20000,0,0,0
388,20000,0,0,0
389,20000,0,0,0
390,20000,0,0,0
391,20000,0,0,0
392,20000,0,0,0
393,20000,0,0,0
394,20000,0,0,0
395,20000,0,0,0
396,20000,0,0,0
397,20000,0,0,0
398,20000,0,0,0
399,20000,0,0,0
400,20000,0,0,0
401,20000,0,0,0
402,20000,0,0,0
403,20000,0,0,0
404,20000,0,0,0
405,20000,0,0,0
406,20000,0,0,0
407,20000,0,0,0
408,20000,0,0,0
409,20000,0,0,0
410,20000,0,0,0
411,20000,0,0,0
412,20000,0,0,0
413,20000,0,0,0
414,20000,0,0,0
415,20000,0,0,0
416,20000,0,0,0
417,20000,0,0,0
418,20000,0,0,0
419,20000,0,0,0
420,20000,0,0,0
421,20000,0,0,0
422,20000,0,0,0
423,20000,0,0,0
424,20000,0,0,0
425,20000,0,0,0
426,20000,0,0,0
427,20000,0,0,0
428,20000,0,0,0
429,20000,0,0,0
430,20000,0,0,0
431,20000,0,0,0
432,20000,0,0,0
433,20000,0,0,0
434,20000,0,0,0
435,20000,0,0,0
436,20000,0,0,0
437,20000,0,0,0
438,20000,0,0,0
439,20000,0,0,0
440,20000,0,0,0
441,20000,0,0,0
442,20000,0,0,0
443,20000,0,0,0
444,20000,0,0,0
445,20000,0,0,0
446,20000,0,0,0
447,20000,0,0,0
448,20000,0,0,0
449,20000,0,0,0
450,20000,0,0,0
451,20000,0,0,0
452,20000,0,0,0
453,20000,0,0,0
454,20000,0,0,0
455,20000,0,0,0
456,20000,0,0,0
457,20000,0,0,0
458,20000,0,0,0
459,20000,0,0,0
460,20000,0,0,0
461,20000,0,0,0
