iteration,susceptible,exposed,infected,recovered
287,230,290,664,18816
288,296,263,638,18803
289,283,280,659,18778
290,279,277,634,18810
291,322,280,628,18770
292,317,289,650,18744
293,285,305,660,18750
294,274,299,661,18766
295,280,280,653,18787
296,253,296,650,18801
297,265,281,637,18817
298,286,300,599,18815
299,236,313,617,18834
300,287,277,617,18819
301,269,294,611,18826
302,288,297,597,18818
303,282,283,633,18802
304,278,291,628,18803
305,279,299,644,18778
306,308,311,616,18765
307,272,323,643,18762
308,252,316,658,18774
309,280,290,663,18767
310,317,288,665,18730
311,246,317,651,18786
312,312,310,633,18745
313,297,300,661,18742
314,249,317,666,18768
315,298,298,624,18780
316,287,307,627,18779
317,282,314,634,18770
318,315,304,623,18758
319,261,320,652,18767
320,303,297,658,18742
321,271,301,664,18764
322,266,276,664,18794
323,256,263,680,18801
324,266,282,628,18824
325,295,281,609,18815
326,303,266,667,18764
327,290,288,663,18759
328,328,290,658,18724
329,273,317,696,18714
330,328,301,673,18698
331,321,310,662,18707
332,330,315,670,18685
333,298,328,674,18700
334,289,344,633,18734
335,267,322,661,18750
336,302,307,666,18725
337,302,302,685,18711
338,271,320,690,18719
339,259,292,688,18761
340,289,300,657,18754
341,265,287,679,18769
342,288,296,643,18773
343,301,279,658,18762
344,308,300,648,18744
345,335,311,636,18718
346,315,323,675,18687
347,283,310,692,18715
348,291,304,665,18740
349,262,301,668,18769
350,253,313,648,18786
351,268,310,644,18778
352,310,288,671,18731
353,319,307,674,18700
354,313,321,667,18699
355,292,325,683,18700
356,262,321,700,18717
357,287,291,698,18724
358,264,308,685,18743
359,218,304,664,18814
360,257,274,632,18837
361,282,253,629,18836
362,295,260,629,18816
363,317,301,611,18771
364,327,322,622,18729
365,321,332,656,18691
366,297,369,659,18675
367,299,361,651,18689
368,287,356,679,18678
369,273,336,699,18692
370,266,325,688,18721
371,265,302,689,18744
372,325,293,664,18718
373,288,315,664,18733
374,282,327,677,18714
375,238,327,672,18763
376,246,311,654,18789
377,241,306,635,18818
378,247,289,634,18830
379,247,273,625,18855
380,319,291,582,18808
381,296,304,621,18779
382,285,314,634,18767
383,261,299,651,18789
384,293,288,646,18773
385,285,292,644,18779
386,289,303,640,18768
387,286,291,669,18754
388,287,317,644,18752
389,262,340,630,18768
390,280,334,640,18746
391,241,322,642,18795
392,273,327,633,18767
393,286,308,660,18746
394,279,297,675,18749
395,258,283,667,18792
396,318,301,607,18774
397,293,287,657,18763
398,303,302,650,18745
399,301,316,644,18739
400,307,314,668,18711
401,315,299,670,18716
402,320,314,676,18690
403,280,331,705,18684
404,293,308,704,18695
405,283,330,683,18704
406,277,328,679,18716
407,253,318,672,18757
408,291,311,648,18750
409,293,301,674,18732
410,306,297,665,18732
411,313,295,684,18708
412,317,314,656,18713
413,259,326,675,18740
414,305,308,662,18725
415,267,296,727,18710
416,263,290,685,18762
417,310,271,661,18758
418,276,301,667,18756
419,219,298,662,18821
420,289,276,636,18799
421,304,297,630,18769
422,282,290,667,18761
423,296,282,678,18744
424,304,289,669,18738
425,314,306,645,18735
426,359,306,676,18659
427,315,319,706,18660
428,316,322,730,18632
429,293,314,724,18669
430,271,327,694,18708
431,254,303,693,18750
432,301,302,663,18734
433,277,323,663,18737
434,261,317,669,18753
435,265,301,668,18766
436,311,320,629,18740
437,254,325,661,18760
438,260,332,634,18774
439,227,330,661,18782
440,263,278,657,18802
441,313,289,631,18767
442,298,295,647,18760
443,282,298,650,18770
444,266,294,676,18764
445,288,280,658,18774
446,294,285,648,18773
447,293,290,648,18769
448,276,311,631,18782
449,266,315,631,18788
450,283,282,655,18780
451,272,292,638,18798
452,283,301,647,18769
453,286,301,656,18757
454,292,287,684,18737
455,267,294,670,18769
456,326,279,667,18728
457,319,303,669,18709
458,305,317,676,18702
459,270,323,688,18719
460,281,304,671,18744
461,243,279,685,18793
462,248,282,662,18808
463,258,287,646,18809
464,278,280,638,18804
465,313,290,632,18765
466,292,303,656,18749
467,268,303,645,18784
468,312,282,649,18757
469,292,308,654,18746
470,289,306,665,18740
471,312,306,643,18739
472,335,321,636,18708
473,317,342,647,18694
474,298,344,675,18683
475,312,342,658,18688
476,309,310,681,18700
477,283,321,677,18719
478,267,312,686,18735
479,243,307,695,18755
480,258,286,688,18768
481,271,279,678,18772
482,297,281,641,18781
483,307,295,645,18753
484,323,304,642,18731
485,315,334,634,18717
486,306,345,662,18687
487,286,332,698,18684
488,280,319,706,18695
489,301,324,711,18664
490,306,333,696,18665
491,307,332,688,18673
492,330,317,717,18636
493,288,337,691,18684
494,278,327,690,18705
495,249,309,704,18738
496,287,297,678,18738
497,267,303,656,18774
498,289,302,665,18744
499,276,291,676,18757
500,317,304,637,18742
501,315,298,663,18724
502,297,282,702,18719
503,254,287,665,18794
504,275,279,657,18789
505,270,276,647,18807
506,267,259,661,18813
507,269,272,617,18842
508,313,288,594,18805
509,292,297,611,18800
510,284,301,641,18774
511,313,300,634,18753
512,316,308,653,18723
513,319,300,684,18697
514,279,329,675,18717
515,293,341,654,18712
516,321,348,658,18673
517,272,339,708,18681
518,268,326,703,18703
519,276,304,707,18713
520,297,289,694,18720
521,242,311,692,18755
522,285,311,655,18749
523,284,293,661,18762
524,284,306,656,18754
525,285,284,675,18756
526,252,310,652,18786
527,246,298,662,18794
528,272,267,669,18792
529,282,278,631,18809
530,283,311,611,18795
531,316,305,606,18773
532,322,328,622,18728
533,311,336,642,18711
534,314,347,667,18672
535,299,343,684,18674
536,294,341,699,18666
537,307,326,708,18659
538,275,356,676,18693
539,231,339,699,18731
540,290,322,657,18731
541,288,319,658,18735
542,252,314,662,18772
543,268,285,641,18806
544,274,288,622,18816
545,248,312,611,18829
546,316,312,605,18767
547,302,324,622,18752
548,290,333,629,18748
549,265,326,641,18768
550,280,295,664,18761
551,287,300,655,18758
552,292,300,655,18753
553,311,287,673,18729
554,296,302,686,18716
555,304,303,687,18706
556,319,312,672,18697
557,290,324,687,18699
558,304,311,701,18684
559,291,324,707,18678
560,283,305,716,18696
561,302,308,682,18708
562,303,310,669,18718
563,271,309,689,18731
564,292,327,668,18713
565,309,335,655,18701
566,304,329,671,18696
567,280,335,691,18694
568,283,330,699,18688
569,299,327,686,18688
570,301,296,756,18647
571,286,306,738,18670
572,281,288,716,18715
573,266,289,669,18776
574,279,271,659,18791
575,257,275,648,18820
576,295,254,653,18798
577,296,279,631,18794
578,304,273,640,18783
579,292,269,640,18799
580,303,290,624,18783
581,293,298,633,18776
582,315,319,608,18758
583,272,318,671,18739
584,283,313,652,18752
585,293,307,660,18740
586,311,298,641,18750
587,274,299,669,18758
588,280,283,663,18774
589,293,268,643,18796
590,282,280,655,18783
591,267,282,661,18790
592,256,307,627,18810
593,234,294,633,18839
594,258,290,607,18845
595,246,298,606,18850
596,277,292,617,18814
597,258,287,631,18824
598,275,283,619,18823
599,228,268,649,18855
600,290,277,611,18822
601,287,284,638,18791
602,325,294,636,18745
603,311,305,650,18734
604,348,313,680,18659
605,318,341,688,18653
606,348,336,706,18610
607,301,372,721,18606
608,281,376,699,18644
609,269,355,702,18674
610,285,331,705,18679
611,242,318,719,18721
612,304,306,681,18709
613,287,327,692,18694
614,282,313,700,18705
615,298,312,679,18711
616,343,305,683,18669
617,297,309,718,18676
618,304,328,651,18717
619,288,339,654,18719
620,266,337,668,18729
